state_name,place,lon,lat,county
Alabama,Advance,-85.14993,31.88822,Barbour
Alabama,Bankhead,-87.29558,33.47961,Tuscaloosa
Alabama,Colbert,-87.66753,34.74481,Colbert (new)
Alabama,De Kalb,-85.71969,34.44425,Dekalb
Alabama,Ensley,-86.89726,33.51462,Jefferson
Alabama,Falco,-86.61829,31.04907,Covington
Alabama,Gees Bend,-87.28138,32.07792,Wilcox
Alabama,Guntersville Dam,-86.3922,34.4236,Marshall
Alabama,Guntersville Lake,-86.19637,34.40287,Marshall
Alabama,Havana,-87.62029,32.89513,Hale
Alabama,Iron City,-85.66413,33.66788,Calhoun
Alabama,Kymulga,-86.29887,33.334,Talladega
Alabama,Lewisburg,-86.80555,33.5826,Jefferson
Alabama,Muscoda,-86.93971,33.37955,Jefferson
Alabama,Palmerdale,-86.6461,33.73871,Jefferson
Alabama,Prairie Farms,-85.99107,32.38236,Macon
Alabama,Sprott,-87.22139,32.6768,Perry
Alabama,Wheeler,-87.37919,34.7912,Lawrence
Alabama,Wheeler Dam,-87.38188,34.80623,Lauderdale
Alabama,Wilson Dam,-87.62522,34.79788,Lauderdale
Alaska,Aleutian Islands,-173.50056,52.09694,Third Judicicial Dist - No Data
Alaska,Attu,172.90944,52.9025,Third Judicicial Dist - No Data
Alaska,Attu Island,172.90944,52.9025,Third Judicicial Dist - No Data
Alaska,Fairbanks North Star,-147.71639,64.83778,Fourth Judicicial Dist - No Data
Alaska,Kiska,177.46,51.96417,Third Judicicial Dist - No Data
Alaska,Nome Census Area,-163.75056,64.83333,Second Judicicial Dist - No Data
Arizona,Agua Fria,-112.07,34.19222,Yavapai
Arizona,Allentown,-109.15843,35.29197,Apache
Arizona,Apache National Forest,-109.78779,34.98369,Apache
Arizona,Beckers Butte,-110.459,33.80699,Gila
Arizona,Boriana Mine,-113.91634,34.93806,Mohave
Arizona,Dennison,-110.90486,35.08668,Coconino
Arizona,Eleven Mile Corner,-111.56707,32.87951,Pinal
Arizona,Friendly Corners,-111.55095,32.61784,Pinal
Arizona,Gleed,-112.64025,35.28977,Yavapai
Arizona,Grand Canyon,-112.14684,35.95221,Coconino
Arizona,Inspiration,-110.88345,33.41255,Gila
Arizona,Paradise,-111.86072,36.49582,Coconino
Arizona,Petrified Forest National Park,-109.78779,34.98369,Apache
Arizona,Pinto Creek,-111.00567,33.45866,Gila
Arizona,Roosevelt Dam,-111.16123,33.67171,Maricopa
Arizona,Saint David,-110.21424,31.90425,Cochise
Arizona,Saint Johns,-109.37927,34.51837,Apache
Arizona,Salt River Valley,-112.31293,33.38115,Maricopa
Arizona,Solomonsville,-109.63397,32.81257,Graham
Arizona,Theodore Roosevelt Dam,-111.16123,33.67171,Maricopa
Arizona,Tonto National Monument,-111.11356,33.64843,Gila
Arizona,Yampai,-113.20048,35.48944,Yavapai
Arkansas,Centerville,-93.16879,35.11287,Yell
Arkansas,Chicot,-91.29397,33.26725,Chicot
Arkansas,Lake Dick,-91.83874,34.25204,Jefferson
Arkansas,Lehi,-90.2926,35.14731,Crittenden
Arkansas,Memphis,-90.18454,35.14648,Crittenden
Arkansas,Northeast Arkansas,-90.66648,35.80838,Craighead
Arkansas,Ozark Mountains,-93.00045,34.00038,Clark
Arkansas,Parkdale,-91.54568,33.12151,Ashley
Arkansas,Plum Bayou,-91.8985,34.31691,Jefferson
California,Alray,-117.48283,34.32834,San Bernardino
California,Antelope Valley,-117.84981,34.65034,Los Angeles
California,Bagdad,-115.87556,34.58277,San Bernardino
California,Bryman,-117.3456,34.67471,San Bernardino
California,Buckeye,-122.39918,40.63182,Shasta
California,Cajon,-116.96253,32.79477,San Diego
California,Central City,-120.43572,34.95303,Santa Barbara
California,Central Valley,-120.43572,34.95303,Santa Barbara
California,Coachella,-116.17389,33.6803,Riverside
California,Coachella Valley,-116.35918,33.76669,Riverside
California,Death Valley,-116.817,36.24662,Inyo
California,Devore,-117.40144,34.2164,San Bernardino
California,Edison,-118.86593,35.31607,Kern
California,Edwards Air Force Base,-117.89331,34.91537,Kern
California,Goffs,-115.06275,34.91916,San Bernardino
California,Gold Hill,-120.85577,39.18073,Placer
California,Hamilton Field,-118.17062,33.79168,Los Angeles
California,Highway City,-119.88487,36.81078,Fresno
California,Hollywood,-118.32674,34.09834,Los Angeles
California,Hot Springs,-116.50353,33.96173,Riverside
California,Imperial Valley,-116.04001,32.72367,Imperial
California,Kennett,-122.40751,40.74154,Shasta
California,Kingsbury,-123.17475,40.54014,Trinity
California,Klondike,-118.30392,37.20605,Inyo
California,La Jolla,-117.2742,32.84727,San Diego
California,Lake Muroc,-117.83956,34.91268,Kern
California,Ludlow,-116.16001,34.7211,San Bernardino
California,Manzanar,-118.08065,36.73993,Inyo
California,McClellan Field,-121.40083,38.6675,Sacramento
California,Meloland,-115.44749,32.80311,Imperial
California,Mineral King Ranch,-119.22067,36.34273,Tulare
California,Mission Valley,-121.98857,37.54827,Alameda
California,Napa Valley,-122.28553,38.29714,Napa
California,New Castle,-120.56622,37.37344,Merced
California,New Idria,-120.67434,36.4169,San Benito
California,Nyland,-119.13511,34.22556,Ventura
California,Old Auburn,-121.07606,38.89684,Placer
California,Oro Grande,-117.33421,34.59888,San Bernardino
California,Pacific Beach,-117.99923,33.6603,Orange
California,Permanente,-122.0858,37.43327,Santa Clara
California,Pittsburgh,-121.88468,38.02798,Contra Costa
California,Project City,-122.37084,40.68043,Shasta
California,Salinas Valley,-121.12797,36.20469,Monterey
California,San Fernando,-118.43897,34.28195,Los Angeles
California,San Fernando Valley,-118.35952,34.18195,Los Angeles
California,San Francisco Area,-122.41942,37.77493,San Francisco
California,San Francisco Bay,-122.41942,37.77493,San Francisco
