other_number,v1,v2,v3
961,Alphabetical Section,General,Animals
962284,Alphabetical Section,General,"Barclay President of Liberia, State Visit"
96232,Alphabetical Section,General,Bellows
9623,Alphabetical Section,General,Bells
9632,Alphabetical Section,General,Cats
9634,Alphabetical Section,General,Cigarette Rolling
96345,Alphabetical Section,General,Coffee-Mill
96356,Alphabetical Section,General,Conf. International Labour Office
9637,Alphabetical Section,General,Dogs
96764,Alphabetical Section,General,Edwin Rosskam Experimental Panel
964,Alphabetical Section,General,Effigy
964277,Alphabetical Section,General,Exhibit: Faces of America
964273,Alphabetical Section,General,Exhibit: Image of America
96422,Alphabetical Section,General,"Exhibit: San Diego, 1936"
96452,Alphabetical Section,General,Flags
96471,Alphabetical Section,General,Gags
9648,Alphabetical Section,General,Guns
965,Alphabetical Section,General,Hitching Post
9655,Alphabetical Section,General,International Youth Assembly
966,Alphabetical Section,General,Leaves
9662,Alphabetical Section,General,Lighting Fixture
96642,Alphabetical Section,General,Moss Press
96816,Alphabetical Section,General,Sausage Chopper
96822,Alphabetical Section,General,Scales
96825,Alphabetical Section,General,Scarecrows
9684,Alphabetical Section,General,Signs
96883,Alphabetical Section,General,Swedish Journalists
96916,Alphabetical Section,General,Turkish Journalists
96928,Alphabetical Section,General,Vachon Photos
969416,Alphabetical Section,General,Watering Trough
96945,Alphabetical Section,General,Weather Vanes
96948,Alphabetical Section,General,Wheels
2315,Cities and Towns,"City Parks, Residential Areas",Cemeteries
236,Cities and Towns,"City Parks, Residential Areas","Food, Garden Plots"
326,Cities and Towns,"City Parks, Residential Areas","Food, Garden Plots"
231,Cities and Towns,"City Parks, Residential Areas",Monuments
23,Cities and Towns,"City Parks, Residential Areas",Parks
234,Cities and Towns,"City Parks, Residential Areas",Real Estate Developments
2337,Cities and Towns,"City Parks, Residential Areas",Suburban Estates
233,Cities and Towns,"City Parks, Residential Areas",Suburbs
213,Cities and Towns,"City Streets, Buildings",Buildings
2182,Cities and Towns,"City Streets, Buildings",Buildings
21,Cities and Towns,"City Streets, Buildings","Cities, Overall Views"
212,Cities and Towns,"City Streets, Buildings",Construction
211,Cities and Towns,"City Streets, Buildings",Downtown Streets
2166,Cities and Towns,"City Streets, Buildings",Highway Approaches to City
221,Cities and Towns,"City Streets, Buildings",Housing Projects
224,Cities and Towns,"City Streets, Buildings",Industrial Sections
218,Cities and Towns,"City Streets, Buildings",Main Streets in Small Cities
2197,Cities and Towns,"City Streets, Buildings",Miscellaneous
2187,Cities and Towns,"City Streets, Buildings",Miscellaneous Buildings
2106,Cities and Towns,"City Streets, Buildings",New York
2164,Cities and Towns,"City Streets, Buildings",Parking
2185,Cities and Towns,"City Streets, Buildings",Secondary Streets in Large Cities
223,Cities and Towns,"City Streets, Buildings",Slums
215,Cities and Towns,"City Streets, Buildings",Stores
216,Cities and Towns,"City Streets, Buildings",Traffic
2236,Cities and Towns,"City Streets, Buildings",Washington D.C.
2138,Cities and Towns,"City Streets, Buildings",Washington D.C. Government Buildings
227,Cities and Towns,"City Streets, Buildings","Waterfronts, Docks"
222,Cities and Towns,"City Streets, Buildings",Workers' Houses
2,Cities and Towns,General,Cities
208,Cities and Towns,General,"San Juan, Puerto Rico"
2563,Cities and Towns,Towns and Small Cities,Abandoned Buildings
25331,Cities and Towns,Towns and Small Cities,"Aliquippa, Pa"
2544,Cities and Towns,Towns and Small Cities,Boom Towns
256,Cities and Towns,Towns and Small Cities,Buildings
278,Cities and Towns,Towns and Small Cities,Cemeteries
2588,Cities and Towns,Towns and Small Cities,Company and Plantation Housing
254,Cities and Towns,Towns and Small Cities,Company Towns
25273,Cities and Towns,Towns and Small Cities,"Consumers, Utah"
264,Cities and Towns,Towns and Small Cities,Deserted Towns
2524,Cities and Towns,Towns and Small Cities,Fishing Towns
25868,Cities and Towns,Towns and Small Cities,Green Belt. MD
257,Cities and Towns,Towns and Small Cities,Houses
