class,group,super
bridge,building,indoor
building,building,indoor
house,building,indoor
roof,building,indoor
tent,building,indoor
ceiling,ceiling,indoor
floor,floor,indoor
floor-wood,floor,indoor
food,food,indoor
fruit,food,indoor
cabinet,furniture,indoor
counter,furniture,indoor
door-stuff,furniture,indoor
light,furniture,indoor
mirror-stuff,furniture,indoor
shelf,furniture,indoor
stairs,furniture,indoor
table,furniture,indoor
dirt,ground,outdoor
gravel,ground,outdoor
pavement,ground,outdoor
platform,ground,outdoor
playingfield,ground,outdoor
railroad,ground,outdoor
road,ground,outdoor
sand,ground,outdoor
snow,ground,outdoor
flower,plant,outdoor
grass,plant,outdoor
tree,plant,outdoor
cardboard,rawmaterial,indoor
paper,rawmaterial,indoor
sky,sky,outdoor
mountain,solid,outdoor
rock,solid,outdoor
fence,structural,outdoor
net,structural,outdoor
banner,textile,indoor
blanket,textile,indoor
curtain,textile,indoor
pillow,textile,indoor
rug,textile,indoor
towel,textile,indoor
things,things,things
wall,wall,indoor
wall-brick,wall,indoor
wall-stone,wall,indoor
wall-tile,wall,indoor
wall-wood,wall,indoor
river,water,outdoor
sea,water,outdoor
water,water,outdoor
window,window,indoor
window-blind,window,indoor
